id,cai_section,difficulty,time,km,ascent,download_link,description
178B,Jesi,E,2:15,5^6,464,https://www.caifabriano.it/wp/cpc/?wpfb_dl=181,dummy description
178C,Jesi,E,0:15,0^9,38,https://www.caifabriano.it/wp/cpc/?wpfb_dl=182,dummy description
209A,S. Severino,E,1:00,2^7,220,https://www.caifabriano.it/wp/cpc/?wpfb_dl=203,dummy description
100,Fabriano,E,4:00,12^6,980,https://www.caifabriano.it/wp/cpc/?wpfb_dl=4,dummy description
101,Fabriano,E,1:10,4^1,316,https://www.caifabriano.it/wp/cpc/?wpfb_dl=7,dummy description
114,Fabriano,E,2:10,9^3,355,https://www.caifabriano.it/wp/cpc/?wpfb_dl=30,dummy description
119,Fabriano,E,3:40,9^4,704,https://www.caifabriano.it/wp/cpc/?wpfb_dl=40,dummy description
120,Fabriano,E,3:50,12^3,939,https://www.caifabriano.it/wp/cpc/?wpfb_dl=43,dummy description
128,Fabriano,E,3:00,9^9,632,https://www.caifabriano.it/wp/cpc/?wpfb_dl=67,dummy description
130,Fabriano,T,0:50,3^1,93,https://www.caifabriano.it/wp/cpc/?wpfb_dl=75,dummy description
134,Fabriano,T,1:10,3,228,https://www.caifabriano.it/wp/cpc/?wpfb_dl=81,dummy description
100A,Fabriano,E,2:20,8^1,452,https://www.caifabriano.it/wp/cpc/?wpfb_dl=5,dummy description
100B,Fabriano,E,1:00,3^1,508,https://www.caifabriano.it/wp/cpc/?wpfb_dl=6,dummy description
119A,Fabriano,E,0:30,1^6,113,https://www.caifabriano.it/wp/cpc/?wpfb_dl=41,dummy description
119B,Fabriano,E,1:15,3^1,100,https://www.caifabriano.it/wp/cpc/?wpfb_dl=42,dummy description
120A,Fabriano,E,1:15,3,535,https://www.caifabriano.it/wp/cpc/?wpfb_dl=44,dummy description
120B,Fabriano,E,1:00,3^2,289,https://www.caifabriano.it/wp/cpc/?wpfb_dl=45,dummy description
120C,Fabriano,E,0:35,1^9,88,https://www.caifabriano.it/wp/cpc/?wpfb_dl=46,dummy description
120E,Fabriano,E,1:30,4^5,519,https://www.caifabriano.it/wp/cpc/?wpfb_dl=47,dummy description
120F,Fabriano,E,0:30,1^8,21,https://www.caifabriano.it/wp/cpc/?wpfb_dl=48,dummy description
128A,Fabriano,T,0:30,1^4,208,https://www.caifabriano.it/wp/cpc/?wpfb_dl=68,dummy description
128B,Fabriano,E,0:08,0^3,67,https://www.caifabriano.it/wp/cpc/?wpfb_dl=69,dummy description
128C,Fabriano,E,0:20,0^8,108,https://www.caifabriano.it/wp/cpc/?wpfb_dl=70,dummy description
130A,Fabriano,E,0:15,0^4,87,https://www.caifabriano.it/wp/cpc/?wpfb_dl=76,dummy description
